University Heights-Morris Heights,Morris Heights,`
Morrisania-Melrose,"Morrisania,Melrose",
Hunts Point,Hunts Point,`
park-cemetery-etc-Brooklyn,,
Lower East Side,"Alphabet City,Lower East Side",`
Prospect Lefferts Gardens-Wingate,Prospect-Lefferts Gardens,`
North Side-South Side,"South Williamsburg,Williamsburg",`
West Concourse,"Concourse,Concourse Village",`
Rikers Island,,
Manhattanville,"Manhattanville,West Harlem",`
East New York,East New York,
Soundview-Bruckner,Soundview,`
Stuyvesant Heights,,
Bronxdale,"Allerton,Olinville",`
Upper East Side-Carnegie Hill,"Lenox Hill,Carnegie Hill",`
Woodside,Woodside,`
Brooklyn Heights-Cobble Hill,"Brooklyn Heights,Cobble Hill,Greenwood Heights",`
Annadale-Huguenot-Prince's Bay-Eltingville,"Annadale,Huguenot,Prince's Bay",`
Forest Hills,Forest Hills,`
Rugby-Remsen Village,,
Arden Heights,"Arden Heights,Travis",`
South Jamaica,South Jamaica,`
Middle Village,Middle Village,`
Soundview-Castle Hill-Clason Point-Harding Park,"Clason Point,Castle Hill",`
Stapleton-Rosebank,"Clifton,Rosebank,St. George,Stapleton,Shore Acres",`
Elmhurst,"East Elmhurst,Elmhurst",`
Hammels-Arverne-Edgemere,"Arverne,Edgemere",`
East Harlem South,,
Seagate-Coney Island,"Coney Island,Sea Gate",`
Steinway,Ditmars,
Ocean Parkway South,,
Flatlands,Flatlands,`
Rego Park,Rego Park,`
Springfield Gardens South-Brookville,"Brookville,Springfield Gardens",`
Briarwood-Jamaica Hills,"Briarwood,Jamaica Hills",`
Van Nest-Morris Park-Westchester Square,"Van Nest,Morris Park",`
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"Boerum Hill,DUMBO,Downtown Brooklyn,Vinegar Hill",`
Crown Heights North,Crown Heights,`
Bushwick North,Bushwick,`
Springfield Gardens North,,
Whitestone,"Malba,Beechhurst,Whitestone",`
West Brighton,,
Brownsville,Brownsville,`
Madison,Madison,`
Clinton,"Garment District,Hell's Kitchen / Clinton",`
Washington Heights South,,
Williamsbridge-Olinville,Williamsbridge,`
Midtown-Midtown South,"Midtown,Midtown South,Times Square/ Theater District",`
Hunters Point-Sunnyside-West Maspeth,Sunnyside,`
Parkchester,Parkchester,`
Lincoln Square,"Columbus Circle,Lincoln Square,Bloomingdale",
Longwood,Longwood,`
East Harlem North,East Harlem,`
Woodlawn-Wakefield,"Wakefield,Woodlawn",`
Crown Heights South,,
Murray Hill-Kips Bay,"Kips Bay,Murray Hill",`
Morningside Heights,"Manhattan Valley,Morningside Heights",`
Gramercy,Gramercy,`
Brighton Beach,Brighton Beach,`
Flushing,Flushing,`
park-cemetery-etc-Manhattan,,
Washington Heights North,"Fort George,Hudson Heights,Washington Heights",
College Point,College Point,`
Belmont,Belmont,`
Kensington-Ocean Parkway,Kensington,`
Van Cortlandt Village,,
Queensbridge-Ravenswood-Long Island City,Long Island City,`
Woodhaven,Woodhaven,`
Mott Haven-Port Morris,"Mott Haven,Port Morris",`
St. Albans,St. Albans,`
Flatbush,"Ditmas Park,Flatbush",`
North Corona,,
East Tremont,"Tremont & East Tremont,West Farms",`
Clinton Hill,Clinton Hill,`
Westchester-Unionport,Westchester Square,`
Canarsie,Canarsie,
Lindenwood-Howard Beach,"Belle Harbor,Howard Beach,Rockaway Park,Hamilton Beach",`
Pelham Bay-Country Club-City Island,"Country Club,City Island,Pelham Bay",`
East Williamsburg,East Williamsburg,`
Norwood,Norwood,`
park-cemetery-etc-Staten Island,,
Oakland Gardens,"Hollis Hills,Oakland Gardens",`
Park Slope-Gowanus,"Park Slope,South Slope,Gowanus",`
park-cemetery-etc-Queens,,
Rosedale,Rosedale,`
Queens Village,Queens Village,`
Jamaica,Jamaica,`
Cypress Hills-City Line,Cypress Hills,`
Queensboro Hill,,
South Ozone Park,South Ozone Park,`
Stuyvesant Town-Cooper Village,Stuyvesant Town,`
Baisley Park,,
Murray Hill,Murray Hill (Queens),`
Laurelton,Laurelton,`
Glen Oaks-Floral Park-New Hyde Park,Glen Oaks,`
Grymes Hill-Clifton-Fox Hills,"Concord,Grymes Hill,Sunnyside (Staten Island)",
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"Lighthouse Hill,Emerson Hill,Heartland Village,Todt Hill",`
Kew Gardens Hills,Kew Gardens Hills,`
Westerleigh,"Castleton Corners,Meier's Corners,Westerleigh",
Battery Park City-Lower Manhattan,"Battery Park City,Financial District",`
Jamaica Estates-Holliswood,"Holliswood,Jamaica Estates",`
Pelham Parkway,Pelham Parkway,`
Hudson Yards-Chelsea-Flatiron-Union Square,"Chelsea,Flatiron,Union Square,NoMad",`
Starrett City,Starrett City,`
Douglas Manor-Douglaston-Little Neck,"Douglaston,Little Neck",`
Bath Beach,Bath Beach,`
Georgetown-Marine Park-Bergen Beach-Mill Basin,"Mill Basin,Marine Park,Bergen Beach",
Airport,,
Bensonhurst West,Bensonhurst,`
Hamilton Heights,"Hamilton Heights,Sugar Hill",`
Borough Park,"Borough Park,Mapleton",`
Spuyten Duyvil-Kingsbridge,Spuyten Duyvil,`
New Springville-Bloomfield-Travis,"Willowbrook,Bulls Head,New Springville",`
Mount Hope,"Claremont Village,Mount Hope",
Ft. Totten-Bay Terrace-Clearview,Bay Terrace (Staten Island),`
Charleston-Richmond Valley-Tottenville,Tottenville,`
Bedford Park-Fordham North,"Bedford Park ,Fordham",`
Bayside-Bayside Hills,Bayside,`
Oakwood-Oakwood Beach,Oakwood,`
Sunset Park East,,
East New York (Pennsylvania Ave),East New York,`
Rossville-Woodrow,"Pleasant Plains,Rossville,Woodrow",`
Turtle Bay-East Midtown,"Midtown East,Tudor City,Turtle Bay,Sutton Place",`
Maspeth,Maspeth,`
Prospect Heights,Prospect Heights,`
Hollis,Hollis,`
Melrose South-Mott Haven North,Morrisania,`
Old Astoria,Astoria,`
Glendale,Glendale,`
North Riverdale-Fieldston-Riverdale,"Fieldston,Riverdale",`
East Concourse-Concourse Village,,
Central Harlem South,"Harlem,South Harlem,Central Harlem",`
New Dorp-Midland Beach,"Grant City,Midland Beach,New Dorp Beach,New Dorp",`
Yorkville,Yorkville,`
Lenox Hill-Roosevelt Island,"Upper East Side,Roosevelt Island",`
Co-op City,Co-Op City,`
Grasmere-Arrochar-Ft. Wadsworth,"Fort Wadsworth,South Beach,Grasmere",`
Sunset Park West,Sunset Park,`
East Flatbush-Farragut,East Flatbush,`
Kew Gardens,Kew Gardens,
